Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"SW1","RST","KEY-SMD_KSS-2G",119.450000,-107.900000,-90.000000,bottom
"C2","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.100000,-105.500000,-90.000000,top
"C3","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",123.600000,-101.650000,90.000000,top
"C4","10 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",122.350000,-101.950000,-90.000000,top
"C5","10 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.350000,-105.500000,90.000000,top
"C7","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.230890,-120.000053,0.000000,top
"C8","10 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",143.900000,-115.900000,180.000000,top
"C9","10 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",140.168750,-119.162500,90.000000,top
"Q1","BSS84","SOT-23",150.400000,-105.974327,-90.000000,top
"Q2","S8050","SOT-23",150.400000,-109.837500,0.000000,top
"R1","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",123.600000,-105.500000,90.000000,top
"R2","220k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.279216,-106.906667,180.000000,top
"R3","220k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.245087,-105.600000,180.000000,top
"R4","2k2","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",122.350000,-109.100000,-90.000000,top
"R5","2k2","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",121.100000,-109.100000,-90.000000,top
"R6","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.400000,-103.500000,-90.000000,top
"R7","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",123.600000,-109.100000,-90.000000,top
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",150.021560,-103.434282,0.000000,top
"R9","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.279216,-108.894794,0.000000,top
"U1","ESP32-C3-WROOM-02-N4","MODULE_ESP32-C3-WROOM-02-H4",135.000000,-104.000000,0.000000,top
"U2","SHT31-DIS-B2.5kS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",121.625000,-117.946446,0.000000,top
"U3","MD5233","SOT-23-3",143.618750,-119.062500,0.000000,top
